song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Nuestro Planeta (feat. Reykon),52,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0,0.0625,96.035,4,0.415
Hijo de Su Madre,61,178009,0.0646,0.829,0.606,0.391,5,0.281,-7.093,1,0.149,118.051,4,0.732
Lento,65,169251,0.149,0.837,0.649,7.63E-05,11,0.103,-5.26,0,0.192,164.002,4,0.948
Dicen,77,220826,0.137,0.817,0.635,7.85E-06,5,0.245,-5.719,0,0.138,103.029,4,0.777
BEBE,95,217822,0.172,0.635,0.902,0,0,0.125,-3.559,1,0.109,102.063,4,0.286
I Like It,95,253390,0.099,0.816,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65
Zooted (feat. French Montana & Farruko),74,217652,0.267,0.815,0.626,1.31E-05,6,0.275,-5.139,1,0.103,109.989,4,0.571
Havana - Remix,77,199095,0.398,0.751,0.579,2.28E-05,2,0.133,-4.036,1,0.0321,105.031,4,0.349
Pum Pum,45,185743,0.0749,0.736,0.906,0.000123,4,0.12,-1.49,0,0.0566,93.013,4,0.611
Quiero Saber,52,166253,0.00245,0.695,0.818,3.36E-06,6,0.305,-5.532,0,0.0482,102.976,4,0.599
Como,38,234373,0.00323,0.543,0.847,0,9,0.0551,-3.574,1,0.0659,92.046,4,0.65
Anywhere Contigo,46,193846,0.271,0.841,0.841,2.60E-05,9,0.108,-4.288,1,0.0633,104.01,4,0.823
No Gratis,44,208800,0.425,0.777,0.546,0,7,0.0809,-9.504,1,0.207,147.173,4,0.952
Díganle - Tainy Remix,75,211437,0.102,0.84,0.789,0,1,0.309,-4.695,0,0.0949,92.018,4,0.619
Sangria Wine,75,202853,0.181,0.831,0.713,0,1,0.0572,-3.646,0,0.094,132.109,4,0.69
All Day,45,198386,0.0797,0.825,0.481,0,2,0.239,-8.6,1,0.0396,121.046,4,0.761
Just As I Am,53,224413,0.235,0.682,0.751,0,8,0.11,-5.812,0,0.0675,129.937,4,0.708
Nice & Slow,38,218448,0.00694,0.799,0.616,0.00237,5,0.283,-4.599,0,0.0415,127.023,4,0.697
Scooby Doo Pa Pa (Remix),60,176702,0.196,0.921,0.965,0.000201,1,0.323,-1.396,1,0.178,120.902,4,0.507
Don't Werk,39,133120,0.108,0.703,0.617,5.61E-05,7,0.271,-8.732,1,0.0731,123.159,4,0.435
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794
Pa Mi (with Ozuna),77,216689,0.0983,0.596,0.557,0,1,0.0565,-7.522,0,0.134,133.247,5,0.661
Lo Siento,68,226183,0.0705,0.746,0.738,0,9,0.043,-3.67,1,0.207,94.808,4,0.63
Nuestra Cancion Pt. 2 (feat. Arcángel),46,215003,0.0079,0.493,0.825,0,8,0.129,-4.056,1,0.0798,99.866,4,0.621
La Hora Loca,44,175239,0.0429,0.836,0.725,0,7,0.108,-5.445,0,0.0571,126.035,4,0.76
Dinero - English Version,37,161093,0.00436,0.701,0.779,0,11,0.121,-4.657,0,0.0647,119.974,4,0.451
Pum Pum (feat. Kap G & Play-N-Skillz),53,182224,0.149,0.871,0.563,0,10,0.0568,-8.329,0,0.0795,91.998,4,0.62
Hora Loca,65,215421,0.0507,0.65,0.801,0,7,0.0645,-5.407,0,0.0723,166.16,4,0.74
Better With You,68,196018,0.265,0.784,0.437,6.98E-05,5,0.126,-7.868,1,0.0509,90.003,4,0.47
NIGHTS LIKE THESE,59,204453,0.133,0.494,0.729,0,2,0.143,-4.934,1,0.161,78.833,4,0.421
Alright,43,229038,0.0199,0.561,0.58,0,5,0.0619,-5.612,1,0.0414,84.98,4,0.294
Insecure,53,191906,0.369,0.483,0.685,0,10,0.0817,-3.232,0,0.174,185.502,4,0.546
Si Una Vez - (If I Once)[Spanglish Version],54,237860,0.0762,0.62,0.823,3.13E-05,5,0.112,-2.436,1,0.0567,175.921,4,0.404
Finesse (Remix) [feat. Cardi B],84,217288,0.0185,0.704,0.859,0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926
Belong To U,44,202574,0.586,0.633,0.765,6.89E-05,1,0.0966,-5.732,1,0.0474,100.934,4,0.489
Sunny Daze,40,167823,0.569,0.853,0.714,0.0101,7,0.0716,-6.177,1,0.0767,92.375,4,0.836
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,241135,0.0652,0.8,0.837,4.52E-05,7,0.0699,-4.488,1,0.099,105.026,4,0.813
Island,37,194011,0.118,0.743,0.793,6.07E-05,2,0.227,-5.032,0,0.0546,109.921,4,0.434
Crazy In Love,79,236133,0.00249,0.646,0.77,0,2,0.0715,-6.596,0,0.226,99.165,4,0.681
Rock Your Body,74,267266,0.202,0.891,0.714,0.000234,4,0.0521,-6.055,0,0.14,100.972,4,0.818
Beautiful Girls,10,241933,0.159,0.745,0.666,0,9,0.302,-5.899,1,0.0566,129.995,4,0.708
Toxic,60,198813,0.0279,0.774,0.847,0.0183,5,0.241,-3.925,0,0.121,143.011,4,0.923
Michael Jackson x Mark Ronson: Diamonds are Invincible,70,300026,0.342,0.672,0.832,0.000428,11,0.242,-2.388,0,0.342,117.298,4,0.549
Yeah!,79,250373,0.0183,0.894,0.791,0,2,0.0388,-4.699,1,0.112,105.018,4,0.583
Live Your Life (feat. Rihanna),76,338853,0.071,0.375,0.862,0,11,0.211,-3.363,0,0.255,159.841,4,0.478
Hips Don't Lie,84,218093,0.284,0.778,0.824,0,10,0.405,-5.892,0,0.0712,100.024,4,0.756
"Hey, Soul Sister",77,216666,0.217,0.675,0.885,0,1,0.086,-4.432,0,0.0436,97.03,4,0.768
Pumped Up Kicks,84,239600,0.145,0.733,0.71,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,0.965
Love Never Felt so Good,74,246026,0.132,0.775,0.719,1.79E-06,7,0.0662,-6.212,0,0.0435,117.513,4,0.712
Hall of Fame,73,202533,0.0653,0.421,0.873,0,10,0.123,-4.343,1,0.0565,84.803,4,0.63
All of Me,85,269560,0.922,0.422,0.264,0,8,0.132,-7.064,1,0.0322,119.93,4,0.331
Drops of Jupiter,78,259933,0.154,0.468,0.64,0,0,0.154,-5.862,1,0.0275,79.297,4,0.499
We Can't Stop,78,231240,0.00882,0.613,0.622,0,1,0.37,-5.794,0,0.0334,80.003,4,0.484
Fighter,69,245960,0.235,0.435,0.92,0.000353,4,0.552,-1.357,0,0.201,188.899,4,0.45
Since U Been Gone,75,188960,0.00165,0.662,0.741,0.0303,0,0.114,-5.406,1,0.0334,131,4,0.404
Hey Ya! - Radio Mix / Club Mix,76,235213,0.103,0.728,0.974,0.000532,4,0.175,-2.261,0,0.0665,79.526,4,0.965
TiK ToK,71,199693,0.0746,0.755,0.832,1.27E-06,2,0.291,-2.741,0,0.116,120.032,4,0.735
Look At Me Now,71,223933,0.0439,0.764,0.694,3.67E-06,11,0.18,-5.745,0,0.189,146.075,4,0.581
SexyBack,77,242733,0.0584,0.967,0.583,0,7,0.0519,-5.562,0,0.0789,117,4,0.964
With You,69,252160,0.143,0.659,0.696,0,3,0.13,-4.291,1,0.071,86.001,4,0.665
Breakeven,76,261426,0.173,0.63,0.698,0,10,0.0789,-4.51,1,0.0244,94.023,4,0.529
I Know You Want Me (Calle Ocho),65,237120,0.0142,0.824,0.743,2.12E-05,2,0.237,-5.995,1,0.141,127.046,4,0.804
Bye Bye Bye,73,200400,0.031,0.61,0.926,0.0012,8,0.0821,-4.843,0,0.0479,172.638,4,0.861
Complicated,77,244506,0.0572,0.585,0.776,7.74E-06,5,0.3,-5.898,1,0.0459,77.987,4,0.427
Let Me Love You,80,256733,0.235,0.656,0.578,0,7,0.118,-8.97,0,0.0922,94.514,4,0.556
Beautiful,73,238560,0.578,0.457,0.573,3.05E-06,5,0.114,-3.866,0,0.0275,76.193,4,0.0992
Raise Your Glass,54,203306,0.00611,0.701,0.7,0,7,0.0295,-4.934,1,0.0876,122.035,4,0.625
Timber,75,204160,0.0295,0.581,0.963,0,11,0.139,-4.087,1,0.0981,129.992,4,0.788
What Makes You Beautiful,69,198053,0.00761,0.729,0.771,0,4,0.087,-2.451,1,0.0725,125.011,4,0.873
No One,79,253813,0.03,0.649,0.552,6.47E-06,1,0.111,-5.419,0,0.0292,89.969,4,0.158
Sk8er Boi,67,204000,6.79E-05,0.487,0.9,0,0,0.358,-4.417,1,0.0482,149.937,4,0.484
Womanizer,76,224400,0.073,0.724,0.695,0,11,0.0889,-5.226,1,0.0622,139,4,0.235
Give Me Everything,75,252306,0.192,0.671,0.939,0,8,0.298,-3.206,1,0.161,129.023,4,0.529
Single Ladies (Put a Ring on It),72,193213,0.0383,0.426,0.584,0,1,0.188,-5.293,1,0.296,193.437,4,0.272
Bleeding Love,81,262466,0.188,0.638,0.656,0,5,0.146,-5.886,1,0.0357,104.036,4,0.225
Lose My Breath,63,242013,0.00727,0.814,0.899,0.219,1,0.0979,-5.958,1,0.0637,119.011,4,0.545
Love Song,77,258826,0.0208,0.583,0.786,0,2,0.188,-3.142,0,0.0301,123.052,4,0.573
Ms. Jackson,78,270506,0.142,0.843,0.805,0,4,0.0771,-5.946,0,0.269,94.946,4,0.615
Die Young,72,211920,0.00498,0.711,0.7,0.000125,1,0.215,-4.805,0,0.046,128.001,4,0.801
Survivor,62,254040,0.0533,0.524,0.904,0,8,0.776,-2.071,1,0.398,161.188,4,0.655
Oops!...I Did It Again,77,211160,0.3,0.751,0.834,1.77E-05,1,0.355,-5.444,0,0.0437,95.053,4,0.894
Cry Me a River,77,288333,0.575,0.624,0.653,0,8,0.104,-6.582,0,0.176,73.884,4,0.565
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,248413,0.0426,0.794,0.811,1.07E-06,6,0.101,-8.966,0,0.038,116.047,4,0.862
Whatever You Like,75,249533,0.0161,0.68,0.687,0,9,0.261,-6.162,0,0.0709,150.053,4,0.467
"One, Two Step",78,203786,0.042,0.944,0.511,0.00107,5,0.0379,-10.96,0,0.161,113.046,4,0.842
Unwritten,77,259333,0.00577,0.706,0.801,0,5,0.0822,-6.333,1,0.0399,100.013,4,0.63
Wrecking Ball,74,221360,0.407,0.53,0.422,0,5,0.107,-6.262,1,0.0342,119.964,4,0.349
So What,65,215160,0.000304,0.535,0.886,2.26E-06,11,0.257,-3.106,1,0.045,126.012,4,0.445
"Whenever, Wherever",76,196160,0.236,0.793,0.832,1.12E-05,1,0.202,-4.862,0,0.0406,107.661,4,0.872
Baby Boy,69,244826,0.0825,0.655,0.488,1.16E-06,1,0.221,-9.17,1,0.22,91.025,4,0.791
It's Gonna Be Me,67,192426,0.0407,0.636,0.873,1.27E-06,0,0.0372,-4.672,0,0.071,165.071,4,0.908
My Boo,77,223440,0.257,0.662,0.507,0,5,0.0465,-8.238,1,0.118,86.412,4,0.676
Sex on Fire,81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374
Stronger (What Doesn't Kill You),52,221920,0.0411,0.555,0.923,0,0,0.112,-5.908,1,0.0482,116.012,4,0.682
Over My Head (Cable Car),60,236373,0.0204,0.591,0.699,0,8,0.0614,-5.221,1,0.0449,116.029,4,0.733
For the First Time,65,252853,0.0328,0.396,0.629,0,9,0.183,-4.78,1,0.0287,173.794,4,0.358
Girlfriend,69,216600,0.000738,0.56,0.959,0.000206,7,0.209,-2.433,1,0.102,163.983,4,0.67
Fallin',76,210200,0.263,0.653,0.609,0.00101,11,0.233,-7.519,0,0.037,95.982,3,0.482
Use Somebody,79,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173
How to Save a Life,83,262533,0.269,0.64,0.743,0,10,0.101,-4.08,1,0.0379,122.035,4,0.361
Not Over You,69,218520,0.255,0.63,0.894,0,10,0.181,-4.592,1,0.0544,142.051,4,0.364
Before He Cheats,73,199946,0.271,0.519,0.749,0,6,0.119,-3.318,0,0.0405,147.905,4,0.29
Dirrty (feat. Redman),72,298853,0.107,0.64,0.889,0,2,0.339,-3.073,1,0.322,99.931,4,0.436
Caught Up,31,224946,0.0251,0.815,0.808,5.37E-06,6,0.12,-4.614,1,0.0511,110.063,4,0.746
If I Ain't Got You,81,228706,0.603,0.609,0.445,6.77E-06,7,0.104,-9.129,1,0.106,118.393,3,0.166
Wherever You Will Go,67,209360,0.0392,0.551,0.696,0,2,0.127,-6.192,1,0.0265,112.024,4,0.354
You Found Me,76,241853,0.0187,0.338,0.803,0,8,0.136,-5.412,0,0.0413,151.994,4,0.4
"Independent Women, Pt. 1",63,221626,0.388,0.517,0.598,2.22E-06,6,0.183,-3.751,0,0.263,96.933,4,0.922
Because of You,75,219493,0.254,0.583,0.584,0,5,0.123,-5.362,0,0.0314,140.039,4,0.136
Get The Party Started,67,191666,0.00127,0.806,0.902,0,11,0.212,-3.387,0,0.0475,128.943,4,0.961
The Anthem,73,175093,0.00666,0.494,0.939,0,1,0.139,-3.127,1,0.126,177.751,4,0.893
I Don't Want to Be,63,217760,0.00791,0.423,0.862,0,0,0.133,-5.13,0,0.0695,154.746,4,0.462
The Way You Move (feat. Sleepy Brown) - Club Mix,68,234000,0.126,0.871,0.597,0.000115,5,0.0638,-4.932,0,0.0464,125.999,4,0.635
Better in Time,73,234173,0.512,0.584,0.7,2.43E-05,6,0.13,-4.251,1,0.0506,163.953,4,0.549
Over You,64,204853,0.017,0.423,0.922,0,3,0.102,-2.602,1,0.0411,156.063,4,0.567
The Great Escape,67,206520,0.00166,0.423,0.94,0,1,0.178,-4.012,0,0.0635,149.934,4,0.505
Your Body Is a Wonderland,78,249626,0.0206,0.647,0.729,0.0489,5,0.134,-6.251,1,0.0236,94.01,4,0.687
Superman (It's Not Easy),48,222000,0.327,0.521,0.431,0,0,0.0986,-9.74,1,0.0293,106.546,4,0.181
Vivir Mi Vida,68,251160,0.324,0.65,0.879,0,8,0.376,-3.176,1,0.0328,105.015,4,0.899
La Vida Es Un Carnaval,24,275253,0.439,0.82,0.717,0.00107,8,0.236,-6.191,1,0.0722,104.005,4,0.843
Lambada - Original Version 1989,67,207466,0.211,0.756,0.8,0.000723,5,0.047,-5.158,1,0.0329,118.921,4,0.967
La Camisa Negra,29,216706,0.0838,0.751,0.731,0,6,0.0556,-4.419,0,0.0308,97.007,4,0.973
La Gota Fría,66,215493,0.0893,0.719,0.809,0,1,0.183,-10.201,1,0.0511,100.839,4,0.964
Suavemente,63,267000,0.254,0.811,0.88,0.00146,8,0.0475,-2.972,1,0.0628,124.12,4,0.915
Bailando - Spanish Version,71,243413,0.0426,0.723,0.777,3.68E-06,7,0.0451,-3.503,1,0.108,91.017,4,0.961
Danza Kuduro,71,198786,0.078,0.699,0.917,0,0,0.065,-4.897,1,0.115,130.04,4,0.889
Conga,59,252933,0.141,0.782,0.874,0.0584,2,0.112,-7.157,1,0.0474,123.179,4,0.859
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66,232880,0.622,0.585,0.977,0,1,0.328,-3.57,1,0.0615,138.264,4,0.801
Guantanamera,58,199316,0.833,0.744,0.601,0.0242,10,0.131,-5.241,1,0.0349,143.542,4,0.905
El Matador,11,277600,0.0306,0.566,0.911,0.0247,4,0.0574,-9.458,0,0.0791,193.538,4,0.638
Amor Prohibido,61,164120,0.455,0.548,0.688,0,7,0.072,-6.053,1,0.0372,179.842,4,0.813
Hips Don't Lie,84,218093,0.284,0.778,0.824,0,10,0.405,-5.892,0,0.0712,100.024,4,0.756
Mi Gente,77,189440,0.0179,0.774,0.687,1.17E-05,11,0.128,-4.818,0,0.0584,104.959,4,0.308
Obsesion,74,254720,0.419,0.803,0.56,0,1,0.0608,-6.912,0,0.0398,133.679,4,0.77
Let's Get Loud,70,239400,0.135,0.82,0.937,0.000128,5,0.35,-4.81,0,0.0551,130.993,4,0.906
Oye Como Va,56,272546,0.743,0.696,0.728,0.0537,7,0.0835,-6.937,1,0.034,124.092,4,0.963
Despacito (Featuring Daddy Yankee),80,228200,0.208,0.659,0.802,0,2,0.123,-4.79,1,0.148,177.936,4,0.863
Bamboleo,54,203173,0.414,0.671,0.884,0.00015,6,0.0701,-9.267,0,0.0586,119.574,4,0.933
Pedro Navaja,60,443480,0.779,0.582,0.61,6.54E-06,11,0.267,-6.641,0,0.103,93.658,4,0.826
Gasolina,77,192600,0.332,0.857,0.801,1.20E-06,0,0.0789,-6.499,1,0.0618,96.009,4,0.753
Mambo No 5,52,162213,0.337,0.816,0.416,0.791,5,0.0452,-17.795,0,0.244,90.148,4,0.817
De Música Ligera,51,212893,0.00487,0.542,0.714,0.298,2,0.334,-8.045,1,0.028,124.26,4,0.76
Macarena,62,249506,0.422,0.927,0.721,4.36E-05,8,0.0422,-12.561,1,0.0908,103.018,4,0.965
La Bamba,57,172733,0.0699,0.348,0.751,0.000738,0,0.208,-12.823,1,0.0494,156.509,4,0.886
Querida,4,319560,0.318,0.522,0.526,0,2,0.116,-6.361,1,0.0259,90.02,4,0.43
Maria Maria - Radio Mix,56,262160,0.0485,0.779,0.631,0.00316,2,0.0349,-5.314,1,0.115,97.927,4,0.663
La ingrata,65,212000,0.0854,0.748,0.835,1.97E-06,7,0.0365,-5.731,1,0.0351,142.942,4,0.896
Corazón partio,74,343413,0.199,0.648,0.846,4.23E-06,0,0.0803,-6.731,1,0.0424,160.075,4,0.815
I Know You Want Me (Calle Ocho),7,238680,0.0151,0.815,0.757,5.26E-05,2,0.187,-5.351,1,0.165,127.052,4,0.811
Livin' la Vida Loca,73,243160,0.00411,0.425,0.954,0,1,0.0555,-3.756,0,0.0476,178.043,4,0.933
Rebelión,43,378373,0.112,0.559,0.73,0.00267,10,0.263,-8.461,0,0.0639,106.806,4,0.778
La Maza,58,351400,0.652,0.555,0.331,1.16E-05,9,0.235,-17.718,0,0.27,170.603,3,0.437
Amor Eterno,59,408440,0.445,0.301,0.335,0.00181,0,0.751,-8.564,1,0.0303,176.591,4,0.386
