ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
741060357,0,36.0,0,11.0,"$78,379",No,"$240,848",Yes,M,Bachelors,z_Blue Collar,31,Commercial,"$14,080",1,Minivan,yes,"$7,419",1,No,3,$0,13.0,0
600385688,0,27.0,3,15.0,"$52,335",No,"$187,295",Yes,M,Bachelors,Clerical,24,Private,"$9,430",18,Minivan,no,$0,0,No,0,$0,7.0,0
77496530,0,47.0,1,12.0,"$76,811",No,"$243,367",Yes,z_F,z_High School,Manager,56,Private,"$7,090",10,Sports Car,no,$0,0,No,0,$0,8.0,0
370351885,0,53.0,0,8.0,"$109,230",No,"$301,276",Yes,M,PhD,Doctor,32,Private,"$28,570",1,Minivan,no,$0,0,No,0,$0,6.0,0
442774263,0,42.0,0,5.0,"$36,330",No,"$185,624",Yes,M,z_High School,Clerical,27,Private,"$15,250",4,Minivan,yes,$0,0,No,0,$0,11.0,0
174395405,0,33.0,0,0.0,$0,No,$0,z_No,z_F,z_High School,Student,36,Private,"$17,340",7,z_SUV,no,$0,0,Yes,1,$0,12.0,0
909479253,0,59.0,0,7.0,"$150,956",No,"$386,522",z_No,z_F,PhD,Doctor,25,Private,"$9,300",9,z_SUV,no,"$7,670",2,No,3,$0,11.0,0
745465646,0,50.0,0,14.0,"$100,094",No,"$274,673",Yes,M,Masters,Manager,15,Commercial,"$44,110",6,Panel Truck,no,"$21,533",3,Yes,3,$0,13.0,0
750139165,0,51.0,0,14.0,"$90,800",No,"$282,708",z_No,z_F,PhD,Doctor,54,Private,"$40,610",6,z_SUV,no,$0,0,No,2,$0,17.0,0
349628093,0,48.0,0,10.0,"$86,418",No,$0,z_No,M,Masters,Lawyer,26,Private,"$14,940",9,Minivan,yes,$0,0,No,1,$0,17.0,0
452807843,0,48.0,0,10.0,"$111,305",No,$0,z_No,z_F,PhD,Doctor,59,Private,"$17,430",13,z_SUV,no,$0,0,No,4,$0,18.0,0
895618201,0,51.0,0,12.0,"$105,936",No,"$297,381",Yes,z_F,PhD,Doctor,58,Private,"$6,600",1,z_SUV,no,"$8,112",4,No,0,$0,16.0,0
752901598,0,60.0,1,15.0,"$70,695",No,"$260,977",Yes,M,Masters,Lawyer,22,Private,"$14,570",1,Minivan,yes,$0,0,No,0,$0,13.0,0
976688143,0,50.0,0,13.0,"$39,245",No,"$185,056",Yes,M,Masters,Manager,30,Private,"$1,500",4,Minivan,yes,$0,0,No,1,$0,13.0,0
865706634,0,37.0,2,12.0,"$46,661",Yes,"$164,362",z_No,z_F,z_High School,z_Blue Collar,26,Commercial,"$15,120",3,z_SUV,no,"$2,977",3,No,8,"$39,672",1.0,1
608881316,0,55.0,0,13.0,"$59,543",No,"$210,698",Yes,z_F,Bachelors,Professional,32,Private,"$12,950",1,z_SUV,no,$677,2,No,4,$0,5.0,0
515125019,0,41.0,1,11.0,"$36,445",No,"$190,650",Yes,M,z_High School,Clerical,23,Private,"$9,200",6,Minivan,yes,"$8,518",3,No,1,$0,1.0,0
698091607,0,49.0,0,9.0,"$39,484",No,"$216,908",Yes,z_F,Bachelors,Home Maker,23,Private,"$12,660",9,z_SUV,no,$0,0,No,2,$0,8.0,0
262510033,0,43.0,0,9.0,"$53,431",No,$0,z_No,z_F,Bachelors,Professional,5,Private,"$8,050",3,z_SUV,no,"$4,408",1,No,5,"$4,009",12.0,1
529892542,0,43.0,3,14.0,"$22,485",Yes,$0,z_No,z_F,<High School,z_Blue Collar,14,Private,"$8,050",13,z_SUV,no,$0,0,No,0,$0,1.0,0
253352702,1,44.0,1,13.0,"$80,824",No,"$259,932",Yes,M,Masters,Professional,41,Private,"$9,580",1,Minivan,no,"$40,929",1,Yes,0,"$5,453",16.0,1
873746806,0,26.0,2,11.0,"$21,443",No,"$116,421",Yes,M,<High School,Clerical,33,Private,"$6,240",1,Minivan,no,$0,0,No,0,$0,1.0,0
589776136,0,48.0,0,11.0,"$61,434",No,"$197,678",Yes,z_F,z_High School,z_Blue Collar,35,Commercial,"$19,950",1,z_SUV,no,"$5,466",3,No,4,$0,1.0,0
199954438,0,51.0,0,11.0,"$48,580",No,$0,z_No,z_F,Bachelors,Professional,11,Private,"$21,220",4,z_SUV,no,$0,0,No,3,$0,4.0,0
274850342,0,55.0,0,15.0,"$124,833",No,"$400,395",Yes,M,Masters,Lawyer,40,Private,"$37,360",1,Minivan,yes,$0,0,No,0,$0,19.0,0
492469605,0,38.0,0,11.0,"$181,453",No,"$460,598",Yes,z_F,Masters,Lawyer,63,Private,"$23,450",4,Minivan,no,"$19,336",2,Yes,3,$0,14.0,0
184967702,0,55.0,0,14.0,"$31,573",No,"$156,734",Yes,M,Bachelors,Clerical,63,Private,"$11,490",14,Pickup,no,"$6,290",3,No,0,$0,8.0,0
865839595,0,47.0,0,11.0,"$61,407",No,$0,z_No,z_F,Bachelors,Clerical,16,Private,"$10,830",13,z_SUV,no,$0,0,No,2,$0,5.0,0
741663347,0,38.0,3,12.0,"$107,958",Yes,"$273,174",z_No,z_F,Bachelors,Professional,11,Private,"$24,270",11,z_SUV,no,$0,0,No,1,$0,11.0,0
927823143,0,49.0,0,6.0,"$89,948",No,$0,z_No,z_F,Bachelors,Professional,37,Private,"$18,160",7,z_SUV,no,$0,0,No,4,$0,9.0,0
233104477,0,37.0,0,11.0,"$90,295",No,"$240,194",Yes,z_F,Bachelors,Manager,25,Private,"$14,890",12,z_SUV,no,$0,0,Yes,0,$0,14.0,0
431540609,1,43.0,2,13.0,"$35,193",No,"$172,258",Yes,z_F,z_High School,z_Blue Collar,31,Commercial,"$12,820",14,z_SUV,no,$0,0,No,0,$0,1.0,0
108145983,0,53.0,0,12.0,"$113,918",No,$0,z_No,M,Masters,Lawyer,37,Private,"$6,800",1,Pickup,yes,$0,0,No,1,$0,19.0,0
62746121,1,44.0,1,11.0,"$75,161",Yes,"$241,237",z_No,z_F,PhD,Doctor,48,Private,"$11,220",1,z_SUV,no,"$6,367",4,No,5,"$7,833",19.0,1
303183248,0,47.0,0,0.0,$0,No,$0,z_No,z_F,Masters,Home Maker,13,Private,"$20,890",1,z_SUV,no,$0,0,No,1,$0,15.0,0
352494327,0,38.0,0,8.0,"$81,447",No,"$275,745",Yes,M,Bachelors,z_Blue Collar,36,Commercial,"$15,820",6,Minivan,yes,$0,0,No,0,$0,9.0,0
216284033,0,49.0,0,12.0,"$75,311",No,"$324,126",Yes,z_F,Masters,Lawyer,46,Private,"$20,960",12,z_SUV,no,$0,0,No,0,$0,14.0,0
345824763,0,35.0,0,12.0,"$101,956",No,"$284,104",Yes,z_F,Bachelors,z_Blue Collar,73,Commercial,"$15,370",8,z_SUV,no,$0,0,No,0,$0,1.0,0
860906116,2,43.0,2,14.0,"$70,029",No,"$210,170",Yes,z_F,Bachelors,Manager,29,Private,"$11,130",10,z_SUV,no,"$5,311",2,No,7,$0,9.0,0
771611051,0,55.0,0,14.0,"$50,492",No,"$226,015",z_No,z_F,z_High School,Professional,17,Private,"$22,770",11,Minivan,no,$0,0,No,0,$0,1.0,0
68419810,0,50.0,0,13.0,"$93,454",No,"$236,061",Yes,M,Bachelors,Professional,13,Commercial,"$24,090",6,Panel Truck,yes,$0,0,No,1,$0,10.0,0
47771022,0,57.0,2,14.0,"$8,254",No,$0,Yes,z_F,z_High School,Student,79,Commercial,"$1,500",10,z_SUV,no,"$28,137",3,No,3,$0,1.0,0
564643042,0,52.0,0,8.0,"$96,707",No,"$270,614",Yes,M,z_High School,z_Blue Collar,32,Commercial,"$29,370",13,Panel Truck,yes,$0,0,No,0,$0,1.0,0
472421871,0,52.0,0,13.0,"$147,351",No,"$408,720",Yes,M,Masters,Manager,24,Commercial,"$21,670",13,Van,yes,$0,0,No,0,"$5,908",10.0,1
673194992,0,39.0,2,8.0,"$71,950",No,"$228,455",Yes,z_F,z_High School,z_Blue Collar,21,Commercial,"$3,070",3,z_SUV,no,"$13,656",1,No,2,$0,11.0,0
830559969,1,44.0,1,11.0,"$20,526",No,"$129,198",Yes,z_F,z_High School,Clerical,12,Private,"$16,180",4,z_SUV,no,"$7,673",1,No,4,$0,1.0,0
251750409,0,39.0,2,12.0,"$3,612",Yes,$0,z_No,z_F,z_High School,Student,69,Commercial,"$16,230",14,Minivan,no,$0,0,Yes,2,$0,7.0,0
751858042,0,41.0,0,13.0,"$49,662",No,"$221,544",Yes,z_F,Bachelors,Clerical,31,Private,"$19,730",1,Pickup,no,$0,0,No,0,$0,9.0,0
102863719,0,53.0,0,6.0,"$32,073",No,"$145,645",Yes,M,z_High School,z_Blue Collar,25,Private,"$10,010",6,Pickup,no,$0,0,No,0,$0,10.0,0
866863943,0,27.0,4,10.0,"$38,951",No,"$184,377",Yes,z_F,z_High School,Clerical,18,Private,"$9,780",6,Sports Car,no,$0,0,No,2,$0,7.0,0
631245376,0,47.0,0,11.0,"$25,674",No,"$151,714",Yes,M,<High School,z_Blue Collar,46,Private,"$10,020",4,Pickup,yes,$0,0,No,0,$0,1.0,0
755810990,0,47.0,0,11.0,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,"$5,125",10.0,1
719403707,0,43.0,0,12.0,"$46,793",No,"$184,381",Yes,M,z_High School,z_Blue Collar,34,Commercial,"$10,340",4,Pickup,yes,"$3,819",2,No,0,$0,1.0,0
162650357,0,52.0,0,11.0,"$25,844",No,"$154,309",Yes,z_F,z_High School,Clerical,43,Private,"$9,280",3,z_SUV,no,$0,0,No,0,$0,7.0,0
35513355,0,42.0,0,0.0,$0,No,$0,Yes,M,Bachelors,Student,13,Commercial,"$5,700",10,Pickup,no,$0,0,No,5,"$5,110",1.0,1
14827139,0,56.0,0,16.0,"$44,760",No,"$164,852",Yes,M,Bachelors,Manager,30,Private,"$21,770",13,Minivan,yes,$0,0,No,0,$0,6.0,0
450197593,0,25.0,0,8.0,"$118,074",No,"$353,178",Yes,M,Bachelors,Professional,26,Private,"$15,810",6,Minivan,yes,$0,0,Yes,2,$0,10.0,0
57020222,0,39.0,0,11.0,"$24,217",No,"$129,104",Yes,M,<High School,z_Blue Collar,33,Commercial,"$10,900",14,Pickup,yes,$0,0,No,2,$0,7.0,0
765278034,0,37.0,2,12.0,"$87,762",Yes,"$277,357",z_No,M,Bachelors,Clerical,50,Commercial,"$23,970",1,Panel Truck,yes,$0,0,No,0,$0,3.0,0
69443309,0,34.0,1,12.0,"$121,861",No,"$308,486",Yes,z_F,Bachelors,Manager,32,Private,"$15,090",4,Minivan,no,$0,0,No,0,$0,1.0,0
490636474,1,40.0,2,6.0,"$54,159",No,"$180,764",Yes,M,<High School,z_Blue Collar,65,Private,"$16,920",10,Van,yes,$0,0,No,1,$0,1.0,0
312864789,0,47.0,0,14.0,"$14,096",No,"$163,866",Yes,z_F,Bachelors,Clerical,5,Private,"$2,910",7,Sports Car,no,"$5,101",2,No,0,$0,20.0,0
938382235,0,50.0,0,12.0,"$92,237",No,$0,z_No,M,Bachelors,z_Blue Collar,56,Commercial,"$15,720",13,Minivan,yes,$0,0,No,3,$0,11.0,0
310091630,0,56.0,2,14.0,"$69,098",No,"$224,600",Yes,z_F,Bachelors,Professional,21,Private,"$11,800",1,z_SUV,no,$0,0,No,0,$0,11.0,0
617583850,2,37.0,2,9.0,"$116,092",Yes,$0,z_No,z_F,Bachelors,Manager,51,Private,"$33,760",1,Minivan,no,"$2,491",2,No,7,"$6,261",9.0,1
33481658,0,59.0,2,15.0,"$61,833",No,"$220,235",Yes,z_F,Masters,Lawyer,46,Private,"$13,580",1,z_SUV,no,"$31,858",3,Yes,0,$0,17.0,0
22905935,0,53.0,0,15.0,"$74,295",No,"$267,509",Yes,M,Bachelors,Manager,50,Private,"$10,330",10,Pickup,yes,"$6,550",4,No,2,$0,9.0,0
836892979,0,46.0,0,12.0,"$71,855",No,$0,z_No,z_F,z_High School,z_Blue Collar,64,Commercial,"$37,760",6,Van,no,$0,0,No,0,$0,1.0,0
110119669,0,40.0,1,14.0,"$62,502",No,"$201,110",Yes,M,Bachelors,Professional,31,Commercial,"$23,590",1,Panel Truck,yes,$0,0,No,0,$0,11.0,0
2034339,0,37.0,0,12.0,"$38,575",No,"$180,148",Yes,z_F,<High School,z_Blue Collar,44,Private,"$26,340",6,z_SUV,no,$0,0,Yes,0,$0,1.0,0
672549561,0,51.0,0,11.0,"$102,410",No,$0,z_No,M,Masters,Professional,56,Private,"$14,620",3,Minivan,no,$0,0,No,0,$0,14.0,0
81555061,0,52.0,0,13.0,"$86,473",No,"$285,382",z_No,M,z_High School,z_Blue Collar,26,Commercial,"$20,060",7,Van,yes,$0,0,No,0,$0,12.0,0
155095638,2,43.0,3,12.0,"$52,906",No,$0,Yes,z_F,z_High School,Student,40,Private,"$11,090",1,z_SUV,no,$0,0,No,0,$0,1.0,0
637531672,0,40.0,0,13.0,"$54,475",No,"$158,491",Yes,M,Bachelors,Clerical,37,Private,"$18,170",12,Van,yes,$0,0,No,0,$0,11.0,0
461573915,0,49.0,0,8.0,"$22,059",No,"$123,924",Yes,z_F,<High School,Clerical,24,Commercial,"$21,990",11,Pickup,no,$0,0,No,1,$0,1.0,0
990242131,0,50.0,0,13.0,"$56,566",No,"$222,820",Yes,M,Masters,Manager,27,Commercial,"$24,850",1,Panel Truck,no,"$1,203",3,No,3,"$6,691",11.0,1
269768682,0,47.0,0,11.0,"$65,136",No,"$218,705",Yes,z_F,Bachelors,z_Blue Collar,59,Commercial,"$12,710",1,z_SUV,no,"$5,468",2,No,3,$0,15.0,0
935305591,1,43.0,2,15.0,"$28,948",No,"$189,468",Yes,z_F,Bachelors,Manager,43,Private,"$13,260",5,z_SUV,no,"$32,281",1,No,0,$0,9.0,0
135902969,0,50.0,0,12.0,"$116,061",No,"$329,334",Yes,z_F,Bachelors,Professional,25,Commercial,"$26,750",6,Pickup,no,$0,0,No,0,$0,7.0,0
365934950,0,40.0,0,9.0,"$76,668",No,"$268,878",z_No,M,Bachelors,Manager,46,Private,"$13,970",1,Minivan,no,$0,0,No,0,$0,1.0,0
868372619,0,29.0,3,10.0,"$53,643",Yes,$0,z_No,z_F,z_High School,Clerical,54,Private,"$10,080",7,Sports Car,no,"$5,910",2,No,7,$0,11.0,0
76330867,0,29.0,4,14.0,"$33,572",Yes,$0,z_No,z_F,<High School,z_Blue Collar,56,Private,"$7,760",4,z_SUV,no,"$5,293",1,No,6,$0,1.0,0
825087938,0,46.0,0,12.0,"$23,801",No,"$118,402",Yes,M,Bachelors,Professional,49,Private,"$3,880",10,Minivan,yes,"$19,005",3,Yes,2,$0,12.0,0
323105809,0,54.0,0,12.0,"$77,267",No,$0,z_No,z_F,Bachelors,Manager,14,Private,"$14,630",1,z_SUV,no,"$8,395",2,No,0,$0,9.0,0
391478772,0,35.0,2,14.0,"$27,446",No,"$129,102",Yes,z_F,z_High School,Clerical,23,Private,"$13,410",7,z_SUV,no,$0,0,No,1,$0,8.0,0
560240002,0,33.0,1,9.0,"$9,530",No,$0,Yes,z_F,z_High School,Student,25,Private,"$10,270",7,z_SUV,no,"$1,108",3,No,5,$0,9.0,0
878245401,0,50.0,0,0.0,$0,No,$0,Yes,z_F,z_High School,Student,45,Private,"$6,500",4,z_SUV,no,$0,0,No,1,$0,11.0,0
866093378,0,49.0,0,12.0,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0,No,0,$0,14.0,0
845296243,0,47.0,0,13.0,"$10,951",No,"$103,160",Yes,z_F,Bachelors,Home Maker,37,Private,"$6,200",4,z_SUV,no,"$1,862",2,No,0,$0,9.0,0
399351046,0,62.0,0,15.0,"$35,296",No,"$189,767",Yes,z_F,z_High School,Manager,21,Private,"$18,260",10,Sports Car,no,"$8,839",2,No,6,$0,9.0,0
761686417,0,37.0,3,9.0,"$12,455",Yes,$0,z_No,z_F,<High School,Student,26,Private,"$8,290",7,z_SUV,no,$0,0,No,1,$0,1.0,0
988086614,0,46.0,0,11.0,"$56,460",No,"$199,879",Yes,z_F,Bachelors,Manager,5,Commercial,"$24,120",6,Pickup,no,"$7,688",4,No,3,$0,7.0,0
914662298,0,48.0,0,7.0,"$139,337",No,"$369,214",Yes,z_F,Masters,Manager,40,Private,"$16,030",1,Minivan,no,$0,0,No,0,$0,1.0,0
48124408,0,52.0,0,6.0,"$147,666",No,"$405,910",Yes,z_F,Masters,Lawyer,43,Private,"$21,530",7,Minivan,no,$0,0,No,0,$0,17.0,0
844097212,1,37.0,3,10.0,"$28,284",No,"$112,574",Yes,z_F,z_High School,Clerical,49,Private,"$7,810",6,Sports Car,no,$0,0,No,0,$0,1.0,0
112649613,0,42.0,2,14.0,"$97,484",Yes,"$271,024",z_No,M,Masters,Manager,6,Private,"$24,510",7,Minivan,yes,$0,0,No,0,$0,16.0,0
464550883,0,44.0,0,0.0,$0,No,$0,z_No,z_F,PhD,Home Maker,26,Private,"$5,900",7,z_SUV,no,"$8,822",2,No,0,$0,15.0,0
106952963,3,37.0,3,10.0,"$107,765",Yes,"$309,216",z_No,M,Masters,Manager,14,Commercial,"$24,440",4,Panel Truck,yes,"$5,818",1,No,1,$0,17.0,0
909436772,0,57.0,0,14.0,"$134,837",No,"$413,916",Yes,z_F,Bachelors,Manager,45,Private,"$27,640",1,z_SUV,no,$0,0,No,0,$0,14.0,0
773852602,0,51.0,0,12.0,"$77,030",No,$0,z_No,z_F,Masters,Manager,5,Private,"$11,490",1,z_SUV,no,"$51,904",1,No,4,$0,13.0,0
901443160,0,50.0,0,11.0,"$80,241",No,$0,z_No,z_F,Masters,Lawyer,17,Private,"$14,520",4,Pickup,no,"$7,628",2,No,7,$0,11.0,0
327540972,0,56.0,0,13.0,"$76,638",No,$0,z_No,M,z_High School,z_Blue Collar,61,Commercial,"$14,060",1,Minivan,yes,"$24,930",2,No,10,$0,5.0,0
187912292,0,28.0,0,8.0,"$62,294",No,"$177,386",z_No,M,z_High School,z_Blue Collar,43,Commercial,"$18,370",7,Van,yes,$0,0,No,1,$0,8.0,0
349920203,0,54.0,0,13.0,"$76,049",No,"$272,992",Yes,z_F,z_High School,z_Blue Collar,43,Commercial,"$11,190",13,z_SUV,no,$0,0,No,0,$0,4.0,0
597296394,0,54.0,0,8.0,"$90,149",No,"$261,569",Yes,z_F,Masters,Manager,17,Private,"$15,910",4,z_SUV,no,$0,0,No,1,$0,10.0,0
342456793,0,48.0,0,12.0,"$27,700",No,"$117,400",Yes,z_F,z_High School,Clerical,35,Private,"$15,070",7,z_SUV,no,"$34,237",1,No,0,$0,7.0,0
88757083,0,51.0,0,13.0,"$42,383",No,"$185,747",Yes,M,Masters,Lawyer,30,Private,"$24,350",1,Minivan,no,$0,0,No,0,$0,15.0,0
725081018,0,59.0,0,9.0,"$84,401",No,"$291,524",Yes,z_F,PhD,Home Maker,39,Private,"$15,910",1,z_SUV,no,$0,0,No,0,$0,15.0,0
796247401,0,52.0,0,17.0,"$68,184",No,"$215,796",Yes,M,Masters,Lawyer,41,Private,"$13,520",1,Minivan,yes,$0,0,No,0,$0,22.0,0
873530429,0,43.0,3,0.0,$0,No,$0,Yes,z_F,z_High School,Student,30,Commercial,"$19,790",1,Minivan,no,"$8,251",3,No,1,$0,1.0,0
945144015,0,44.0,0,12.0,"$84,015",No,$0,z_No,M,z_High School,Manager,45,Private,"$12,230",14,Minivan,no,"$5,571",2,No,0,$0,9.0,0
380373654,0,52.0,0,8.0,"$21,727",No,"$175,392",Yes,M,<High School,Clerical,64,Commercial,"$17,270",1,Van,no,$0,0,No,0,$0,6.0,0
621932597,0,66.0,0,10.0,"$49,077",No,"$191,144",z_No,z_F,Masters,Lawyer,24,Private,"$18,140",1,Sports Car,no,$0,0,No,3,$0,15.0,0
507152894,1,41.0,3,16.0,"$38,034",No,"$190,148",Yes,z_F,PhD,Manager,30,Private,"$11,300",6,z_SUV,no,"$5,299",1,No,2,$0,1.0,0
974600099,0,36.0,0,11.0,"$17,085",No,$0,Yes,z_F,z_High School,Student,58,Private,"$15,840",7,Sports Car,no,"$4,070",2,No,2,$0,1.0,0
270187595,0,58.0,0,0.0,$0,No,"$111,793",Yes,z_F,Bachelors,Home Maker,29,Private,"$8,650",4,z_SUV,no,"$5,240",4,No,0,$0,12.0,0
428787729,0,47.0,0,7.0,"$97,611",No,"$265,828",Yes,z_F,Bachelors,Professional,12,Private,"$15,960",7,z_SUV,no,$808,1,No,0,$0,1.0,0
655182815,0,52.0,0,13.0,"$1,702",No,$0,Yes,z_F,z_High School,Home Maker,40,Private,"$1,670",1,Sports Car,no,$0,0,No,0,$0,1.0,0
903944846,0,66.0,0,13.0,"$61,473",No,"$248,544",Yes,M,Bachelors,Manager,33,Private,"$24,100",4,z_SUV,yes,$0,0,No,0,$0,9.0,0
25561360,0,40.0,0,11.0,"$57,474",No,"$186,418",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270",4,Panel Truck,yes,$0,0,No,1,$0,5.0,0
76316157,0,60.0,0,0.0,$0,No,"$86,874",Yes,z_F,PhD,Home Maker,24,Private,"$7,500",9,z_SUV,no,$0,0,No,0,$0,12.0,0
234742148,0,36.0,2,11.0,"$33,294",Yes,$0,z_No,z_F,<High School,Clerical,26,Private,"$10,070",1,Sports Car,no,$0,0,No,0,$0,1.0,0
